語	品詞	語ソース	推定執筆日	議論ソース	意味（日）	意味（理）	語源（理）	［意味≠語源の時］語源の和訳	備考や案件
LEDUT	名詞	NIPPON LETI BELPIC	2024/03/12		手	（左に同じ）	ledyd		
TOXA	名詞	NIPPON LETI BELPIC	2024/03/12		石、岩	（左に同じ）	toxa		
CECTIL	名詞	NIPPON LETI BELPIC	2024/03/12		ハサミ	（左に同じ）	cestyl		
XOBEJEL	名詞	NIPPON LETI BELPIC	2024/03/12		拳, 握り拳, 拳骨	（左に同じ）	shoberjerl		
LAKLA	名詞	NIPPON LETI BELPIC	2024/03/12		胸	（左に同じ）	larkra		
LEXUT	名詞	NIPPON LETI BELPIC	2024/03/12		指	（左に同じ）	liexyt		
KENULEXUT	名詞	NIPPON LETI BELPIC	2024/03/12		人差し指	kernu	kernu  + liexyt	人差し指 + 指	
INPIKAC	名詞	NIPPON LETI BELPIC	2024/03/12		中指	（左に同じ）	infirkas		
KETIP	名詞	NIPPON LETI BELPIC	2024/03/12		鳥	（左に同じ）	ketiv		
NO	文接続詞	NIPPON LETI BELPIC	2024/03/12		～しながら	⌛	no	いま	
LACILA	前置助動詞	NIPPON LETI BELPIC	2024/03/13		本当に、真に	⌛	la cirla	事実	（cf. 名詞 LACILA「実際、事実」）
LAILECNELU	名詞	NIPPON LETI BELPIC	2024/03/13		方角	⌛	lael + -e- + snely	地図 + 方角	
LEN-IT	動詞	NIPPON LETI BELPIC	2024/03/13		⌛	⌛	lern	離れる	LEN-IT TUDE「～を遠ざける」
NAXEN	名詞	NIPPON LETI BELPIC	2024/03/16		金持ち、富豪	⌛	naxen	金持ち、貴族、富豪	
MONIJAKTA	名詞	NIPPON LETI BELPIC	2024/03/16		素数	（左に同じ）	moni'akda		
DICNELET	名詞	NIPPON LETI BELPIC	2024/03/16		親戚	（左に同じ）	dirsnielat		（なぜか母音が化ける）
E NEJUC	動詞	NIPPON LETI BELPIC	2024/03/16		集まる	（左に同じ）	sniejus		
JUCTI	名詞	NIPPON LETI BELPIC	2024/03/16		タケノコ	（左に同じ）	jysdir		
EBU	名詞	NIPPON LETI BELPIC	2024/03/16		穀物	⌛	erb, ebu.ar		
DECTOK	名詞	NIPPON LETI BELPIC	2024/03/16		芋	（左に同じ）	destok		
JUCE	名詞	NIPPON LETI BELPIC	2024/03/16		団子	⌛	jusei.ar	肉団子	
XALU-IT	動詞	NIPPON LETI BELPIC	2024/03/16		着用する、装備する、身に着ける	⌛	xalur		
DIJUNAL	名詞	NIPPON LETI BELPIC	2024/03/16		頭	⌛	diunarl		
DIJUNAMUL	名詞	NIPPON LETI BELPIC	2024/03/16		ヘルメット	⌛	diunarmyl		
TACIKU	名詞	NIPPON LETI BELPIC	2024/03/16		防具	⌛	tasiku.ar	防御	
E NUCILA	動詞	NIPPON LETI BELPIC	2024/03/16		偽物である、本物ではない	⌛	NU.pmcp + CILA.pmcp		
IPAICAL	名詞	NIPPON LETI BELPIC	2024/03/16		田、農地	⌛	ipeiccal	田、農地、耕地、農園	
E NAUKIK	動詞	NIPPON LETI BELPIC	2024/03/16		その場しのぎである、間に合わせである	es navgirkh	navgirkh	対症療法、その場しのぎ、間に合わせ	
AMAKOLE	名詞	NIPPON LETI BELPIC	2024/03/16		干し草	（左に同じ）	amahorle		
NEWIC	名詞	NIPPON LETI BELPIC	2024/03/16		屋根	（左に同じ）	nevis		
E BELACTE	動詞	NIPPON LETI BELPIC	2024/03/16		低質である、質が劣っている	⌛	belarxte	水に浮く虫食いのどんぐり；役立たず、出来損ない	
NEDI	名詞	NIPPON LETI BELPIC	2024/03/16		袖	（左に同じ）	nedi		
XALWA	名詞	NIPPON LETI BELPIC	2024/03/16		服、衣服	（左に同じ）	xalwa		
E JETOCTAPAN	動詞	NIPPON LETI BELPIC	2024/03/16		<主語>は水が付着している	⌛	ietostarfamo	水を付着させること	
JETO	名詞		2024/03/16	NIPPON LETI BELPIC	水	（左に同じ）	ieto-		
LICXA	名詞	NIPPON LETI BELPIC	2024/03/17		山	（左に同じ）	licxa		
LUTET	名詞	NIPPON LETI BELPIC	2024/03/17		風	（左に同じ）	rytiet		
CONIC	名詞	NIPPON LETI BELPIC	2024/03/17		植物	（左に同じ）	stones		（備考：母音が化ける）
KUCIJE	名詞	NIPPON LETI BELPIC	2024/03/17		樹脂	（左に同じ）	quci'e		
E PAXETOXE	動詞	NIPPON LETI BELPIC	2024/03/17		複雑である	es faxetuoxe	faxetuoxe	複雑な	
DUCUN	前置助動詞	NIPPON LETI BELPIC	2024/03/17		極端に	⌛	dysun	甚だしい	
