語	品詞	語ソース	推定執筆日	議論ソース	意味（日）	意味（理）	語源（理）	［意味≠語源の時］語源の和訳	備考や案件
PATAC	副詞	我々の遊戯-text	2023/05/03		しっかりと	（左に同じ）	fattars		
E PECTEL JO	動詞	我々の遊戯-text	2023/05/03		〜に作用する	（左に同じ）	festel e'c		
PUPCUK	副詞	我々の遊戯-text	2023/05/02		〜しやすい	-syk	fyrfsyk		
PACLUKUP	名詞	我々の遊戯-text	2023/05/02		言い始め		PAC.pmcf + LUKUP.pmcp		「まずは〜を紹介しよう」の類を JO PACLUKUP と処理する。
PAPCIL	名詞	我々の遊戯-text	2023/05/01		問題	（左に同じ）	fafsirl		
E DOK, DOK-IT	動詞	我々の遊戯-text	2023/05/01		引っ張る、呼ぶ	（左に同じ）	derok		
TIPAC	名詞	我々の遊戯-text	2023/05/01		斜め	（左に同じ）	tipas		
ZAI	名詞	我々の遊戯-text	2023/05/01		線	（左に同じ）	chai		
DOCNETOC	名詞	我々の遊戯-text	2023/05/01		酒	（左に同じ）	dosnetost		
CEXEXIJU	名詞	我々の遊戯-text	2023/05/01		立方体ダイス	cerxe fanxensor'dy	cerxe + XIJU.pmcf	立方体、立方体ダイス、ダイス、投げ棒	
CEXE	名詞	我々の遊戯-text	2023/05/01		立方体	cerxe z'es stiesup	cerxe	立方体、立方体ダイス、ダイス、投げ棒	
NETAUK	名詞	我々の遊戯-text	2023/05/01		奇数	（左に同じ）	nertalg		
XACTIJE	名詞	我々の遊戯-text	2023/05/01		補給	dzastiergo	dzastie	充電する、軍事的な補給をする、充填する	（東島通商語では名詞として入っている）
TUWALENIJA	名詞	我々の遊戯-text	2023/05/01		略奪	（左に同じ）	tvalenia		
DICNOCIT	動詞	我々の遊戯-text	2023/05/01		運転する	(fhasfha'i) disnost	disnost	走る、運転する	
E DICNOC	動詞	我々の遊戯-text	2023/05/01		走る	(nime'd lovim leus) disnost	disnost	走る、運転する	
KINLUJOT	名詞	我々の遊戯-text	2023/05/01		数を表す文字としての数字	（左に同じ）	KIN.pmcf + LUJOT.pmcf		
MOT	名詞	我々の遊戯-text	2023/05/01		裏	（左に同じ）	moth		
ELME-IT	動詞	我々の遊戯-text	2023/05/01		勝負する、戦う	（左に同じ）	ELME.pmcf + IT.pmcf		
LACILA	名詞	我々の遊戯-text	2023/05/01		実際、事実	（左に同じ）	la cirla		
CIPOTO	名詞	我々の遊戯-text	2023/05/01		あっち側、あちら、そっち側、そちら	systyr	CI.pmcf + POTO.pmcf		
KAPOTO	名詞	我々の遊戯-text	2023/05/01		こっち側、こちら	jysnys	KA.pmcf + POTO.pmcf	（X LETI KAPOTOで） Xよりこっち側	
PUXI	名詞	我々の遊戯-text	2023/05/01		余り、余計なもの	pyxi'd mors, anfilerl	pyxi		
XEP-IT	動詞	我々の遊戯-text	2023/05/01		大きくする、拡張する	xerfes, kinieses	XEP.pmcf + -IT.pmcf		
KACE-IT	動詞	我々の遊戯-text	2023/05/01		示す、見せる、カードを出す	（左に同じ）	karse		
JUKENEL	名詞	我々の遊戯-text	2023/05/01		上限	（左に同じ）	jurkenel		
(E MOP) / MOPLETI / MOBIT	動詞	我々の遊戯-text	2023/05/01		真似をする、かたどる	movies, stiesup io xalerlurfavon laozia fhasfa	mioves	真似をする	
KAK	名詞	我々の遊戯-text	2023/05/01		価値	（左に同じ）	hark		
DENEPOC	名詞	我々の遊戯-text	2023/05/01		条件	（左に同じ）	dhenefos		
NUWATAKEC-IT	動詞	我々の遊戯-text	2023/05/01		引き算する		ny atakes		（「XひくYはZ」は "NUWATAKECIT Y JO X LETI E Z"）
